UserName	Date	Star Rating	Review or Comment	link
sherikream	2016-09-21T02:51:29.000Z	0	Maybe I didn't catch it, but I would like to ask what color you got?	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z13pxzswjqjlerwxf04cij2barrws35p4xg0k
Hanh Mai	2016-06-01T01:33:36.000Z	2	I love my new hair color :)	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12hepzpzvnhe54fg22kjpwqctiovhrlt
hanh mai	2017-10-06T03:42:37.000Z	0	when are we going to make a youtube for me	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z22uvlm4ttz0f1mltacdp432fyz0qqqywgcqvg32451w03c010c
Tracy	2016-09-05T00:08:23.000Z	0	I just ordered this same color. I have grey so I would have to do my roots first and then the last 10 minutes bring it down. The opposite. It looks great on you. How was the condition of your hair in about 2 or 3 weeks?  Did any break off or was your hair dryer than before?  I had to give up on the heavy hair dyes at the salon. The damage and its poison.	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12vspuqmleevnc2a22ecnrplka4crtxy04
Shelby k	2016-10-20T00:32:43.000Z	0	So do you color all of your hair every month or do you just touch up the roots?  I just ordered this brand of dye today and I'm so excited to use it!	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12ky1zwxv2ncxubf04cdhy4rvbxubhb5lc0k
The Western Vegan	2017-02-28T20:40:59.000Z	1	your hair looked really shiny. Good job. Hope mine comes out ok	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z13xf5tocs2nit42z22mx31qpkvijdmqj04
JesusWaytoHeaven17	2016-10-27T01:39:17.000Z	2	No harsh chemicals and no smell either.	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12lvllhar2xe5mz204ccnmz1tbedj0qap00k
Rosa Violetta	2016-06-01T01:59:29.000Z	0	Oh www, it Looks great 👌🏼. Makes your skin glow and eyes. Also loving your nails!	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z13mtd1pzraci101123jzp3gbo2rhpnmc
Ana Feheery	2016-11-02T15:04:43.000Z	1	thanks for the video. I just ordered my first madison Reed products and I feel confident now, you hair looks so beautiful.	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12le53jxy2qcv5ei23idjkgmniyvpi1o
Cristina Gutierrez	2016-09-06T20:56:13.000Z	1	it looks great	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12rwtdzrvfhtxhrr04cjzdqrnysjhtzqps0k
avni gupta	2016-07-15T16:27:38.000Z	0	your hair looks gorgeous! the color came out so well, and your hair looks so healthy!! can i ask what color you used?? and did it last long?	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z135fltpwvidhpd0w22qv1po0tzytd4qn04
OoBrendaOo1	2016-06-01T02:43:40.000Z	0	It turned out so beautiful 👌🏼 I love it! It really suits you 😸	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z121f15wiuaivl0ky23eyt05xmj5xtwpp04
Lijayne Angeles	2016-06-02T02:48:58.000Z	0	😭😭😭 I just saw this. Yasss girl you fresh. 👏🏼👏🏼👏🏼	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z134z5hwopmcy5dtn22sxp3obl3ldrsio04
Tiffany Mach	2016-06-02T04:42:41.000Z	0	I LOVE YOUR NAILS UGH. Your hair looks so nice!	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z13syl4xkvf3cjbn2232gdgbqybtvhg0n
steph-x	2016-06-01T09:08:26.000Z	0	Beautiful hair	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12ldtcjrwfgzlgbs04cfle4xmrchjujq2o
Anijah Hardy	2016-06-01T13:33:44.000Z	0	Your Hair looks gorgeous !!! ♡♡♡	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12bijzqvoj5ehhg004cijdjtvfpjf4he5g
Hanh Mai	2016-09-22T04:10:18.000Z	2	verona brown :)	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z13pxzswjqjlerwxf04cij2barrws35p4xg0k.1474517418189868
Hanh Mai	2016-09-05T23:05:38.000Z	0	My hair has always been pretty healthy since i don't do much to it so that plays a huge part. The condition of my hair never changed !! it was still in a health condition:) no breakage or anything ! let me know how it goes :)	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12vspuqmleevnc2a22ecnrplka4crtxy04.1473116738675591
Hanh Mai	2016-10-23T07:21:03.000Z	0	Touch up the roots they have an option for it ! yay show me results!! :)	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12ky1zwxv2ncxubf04cdhy4rvbxubhb5lc0k.1477207263783372
Hanh Mai	2016-06-01T20:33:14.000Z	0	Thank you Rosa !!!	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z13mtd1pzraci101123jzp3gbo2rhpnmc.1464813194210444
Hanh Mai	2016-07-23T16:50:02.000Z	1	Thank you !!! The color was Verona brown ! And yes it did !! You can also purchase the touch up :)	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z135fltpwvidhpd0w22qv1po0tzytd4qn04.1469292602996249
Hanh Mai	2016-06-01T20:33:25.000Z	0	Thanks you Brenda !	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z121f15wiuaivl0ky23eyt05xmj5xtwpp04.1464813205287480
Hanh Mai	2016-06-02T05:54:08.000Z	0	Hehe love you girly	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z134z5hwopmcy5dtn22sxp3obl3ldrsio04.1464846848909655
Hanh Mai	2016-06-02T05:54:00.000Z	1	Hi Tiffany thank you !!!	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z13syl4xkvf3cjbn2232gdgbqybtvhg0n.1464846840804632
Hanh Mai	2016-06-01T20:33:38.000Z	0	I love it ! Thank you	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12ldtcjrwfgzlgbs04cfle4xmrchjujq2o.1464813218425144
Hanh Mai	2016-06-01T20:33:57.000Z	0	Thank you !!!! I'm so in love with it	https://www.youtube.com/watch?v=esQBYPTMm1k&lc=z12bijzqvoj5ehhg004cijdjtvfpjf4he5g.1464813237348596
